索引	类别	原始问	英语	分词
4177	life-insurance	什么样的人寿保险是VGLI？	What  Kind  Of  Life  Insurance  Is  VGLI?	什么样 人寿保险 是 VGLI
4178	home-insurance	房主保险是否涵盖电气问题？	Does  Homeowners  Insurance  Cover  Electrical  Problems?	房主 保险 是否 涵盖 电气 问题
4179	medicare-insurance	亚利桑那州最佳医疗保险优势计划是什么？	What  Is  The  Best  Medicare  Advantage  Plan  In  Arizona?	亚利桑那州 最佳 医疗保险 优势 计划 是 什么
4180	life-insurance	我可以在我的男朋友上获得人寿保险吗？	Can  I  Get  A  Life  Insurance  Policy  On  My  Boyfriend?	我 可以 在 我 男朋友 上 获得 人寿保险
4181	medicare-insurance	如何找到最好的Medigap保险？	How  To  Find  The  Best  Medigap  Insurance?	如何 找到 最好 Medigap 保险
4182	disability-insurance	残疾保险是否扣除税款？	Is  Disability  Insurance  A  Tax  Deduction?	残疾 保险 是否 扣除 税款
4183	life-insurance	人寿保险是否符合伦理？	Is  Life  Insurance  Ethical?	人寿保险 是否 符合 伦理
4184	long-term-care-insurance	有多少人有长期护理保险？	How  Many  People  Have  Long  Term  Care  Insurance?	有 多少 人 有 长期 护理 保险
4185	auto-insurance	何时提出汽车保险索赔？	When  To  File  A  Claim  For  Auto  Insurance?	何时 提出 汽车保险 索赔
4186	auto-insurance	如何找到汽车保险报价？	How  To  Find  Car  Insurance  Quotes?	如何 找到 汽车保险 报价
4187	auto-insurance	什么是青少年最好的汽车保险？	What  Is  The  Best  Car  Insurance  For  Young  Adults?	什么 是 青少年 最好 汽车保险
4188	medicare-insurance	医疗保险为老年美国人提供什么？	What  Does  Medicare  Provide  For  Older  Americans?	医疗保险 为 老年 美国人 提供 什么
4189	retirement-plans	注册退休储蓄计划如何工作？	How  Does  A  Registered  Retirement  Savings  Plan  Work?	注册 退休 储蓄 计划 如何 工作
4190	health-insurance	胸部X光成本没有健康保险多少钱？	How  Much  Does  A  Chest  X-Ray  Cost  Without  Health  Insurance?	胸部 X 光 成本 没有 健康 保险 多少 钱
4191	auto-insurance	什么汽车保险最便宜？	What  Auto  Insurance  Is  Cheapest?	什么 汽车保险 最 便宜
4192	home-insurance	如果城市穿过它来修复他们的漏水，我的车道是否覆盖？	Is  my  driveway  covered  if  the  city  cut  through  it  to  fix  fix  their  water  leak?	如果 城市 穿过 它 来 修复 他们 漏水 我 车道 是否 覆盖
4193	annuities	年金收入影响社会保障？	Does  Annuity  Income  Affect  Social  Security?	年金 收入 影响 社会保障
4194	medicare-insurance	医疗保险涵盖的是Androgel吗？	Is  Androgel  Covered  By  Medicare?	医疗保险 涵盖 是 Androgel
4195	life-insurance	人寿保险申请有什么问题？	What  Questions  Are  On  A  Life  Insurance  Application?	人寿保险 申请 有 什么 问题
4196	home-insurance	你可以用信用卡支付房主保险吗？	Can  You  Pay  Homeowners  Insurance  With  Credit  Card?	你 可以 用 信用卡 支付 房主 保险
4197	home-insurance	家庭保险是否覆盖雨水损害？	Does  Home  Insurance  Cover  Rain  Damage?	家庭 保险 是否 覆盖 雨水 损害
4198	health-insurance	POS在健康保险中有什么作用？	What  Does  POS  Stand  For  In  Health  Insurance?	POS 在 健康 保险 中 有 什么 作用
4199	health-insurance	全民健康保险费用多少？	How  Much  Does  Full  Health  Insurance  Cost?	全民 健康 保险费用 多少
4200	medicare-insurance	调整后的医疗保险总收入是多少？	What  Is  Modified  Adjusted  Gross  Income  For  Medicare?	调整 后 医疗保险 总收入 是 多少
4201	life-insurance	法律需要人寿保险吗？	Is  Life  Insurance  Required  By  Law?	法律 需要 人寿保险
4202	auto-insurance	综合汽车保险涵盖什么？	What  Does  The  Comprehensive  In  Auto  Insurance  Cover?	综合 汽车保险 涵盖 什么
4203	long-term-care-insurance	Metlife出售长期护理保险吗？	Does  Metlife  Sell  Long  Term  Care  Insurance?	Metlife 出售 长期 护理 保险
4204	home-insurance	家庭保险是否覆盖枪支？	Does  Home  Insurance  Cover  Guns?	家庭 保险 是否 覆盖 枪支
4205	medicare-insurance	医疗保险是否支付健身房会员资格？	Does  Medicare  Pay  For  A  Gym  Membership?	医疗保险 是否 支付 健身房 会员 资格
4206	life-insurance	相对可以得到人寿保险吗？	Can  I  Get  Life  Insurance  On  A  Relative?	相对 可以 得到 人寿保险
4207	life-insurance	谁卖全人寿保险？	Who  Sells  Whole  Life  Insurance?	谁 卖 全 人寿保险
4208	auto-insurance	汽车保险价格每天变化吗	Do  Car  Insurance  Prices  Change  Daily?	汽车保险 价格 每天 变化
4209	health-insurance	格鲁吉亚一家人的健康保险费用多少？	How  Much  Does  Health  Insurance  Cost  For  A  Family  In  Georgia?	格鲁吉亚 一家人 健康 保险费用 多少
4210	life-insurance	石桥人寿保险好吗？	Is  Stonebridge  Life  Insurance  Good?	石桥 人寿保险 好
4211	life-insurance	我的孩子应该有多少人寿保险？	How  Much  Life  Insurance  Should  I  Have  For  My  Children?	我 孩子 应该 有 多少 人寿保险
4212	life-insurance	你可以借钱多少人寿保险？	How  Much  Can  You  Borrow  On  A  Life  Insurance  Policy?	你 可以 借钱 多少 人寿保险
4213	auto-insurance	购买汽车保险会影响您的信用评分吗？	Does  Shopping  For  Auto  Insurance  Affect  Your  Credit  Score?	购买 汽车保险 会 影响 您 信用 评分
4214	medicare-insurance	有医疗保险吗？	Is  There  Such  A  Thing  As  Medicare  F?	有 医疗保险
4215	health-insurance	什么是普遍健康保险？	What  Is  Universal  Health  Insurance?	什么 是 普遍 健康 保险
4216	retirement-plans	哪个是最好的退休计划？	Which  Is  The  Best  Retirement  Plan?	哪个 是 最好 退休 计划
4217	medicare-insurance	我可以在哪里申请医疗卡？	Where  Can  I  Apply  For  A  Medicare  Card?	我 可以 在 哪里 申请 医疗卡
4218	other-insurance	如果我们提出一项索赔，商业一般责任保险费将上涨吗？	Will  Commercial  General  Liability  Insurance  Premium  Go  Up  If  We  File  One  Claim?	如果 我们 提出 一 项 索赔 商业 一般 责任 保险费 将 上涨
4219	medicare-insurance	医疗保险支付TMJ手术吗？	Will  Medicare  Pay  For  TMJ  Surgery?	医疗保险 支付 TMJ 手术
4220	life-insurance	人寿保险承保人做什么？	What  Does  An  Life  Insurance  Underwriter  Do?	人寿保险 承保人 做 什么
4221	home-insurance	俄亥俄州需要家庭保险吗？	Is  Home  Insurance  Required  In  Ohio?	俄亥俄州 需要 家庭 保险
4222	annuities	如何在退休计划中使用年金？	How  To  Use  Annuities  In  Retirement  Planning?	如何 在 退休 计划 中 使用 年金
4223	life-insurance	保险中人的生命价值是什么？	What  Is  Human  Life  Value  In  Insurance?	保险 中 人 生命 价值 是 什么
4224	auto-insurance	什么可以让你从汽车保险上掉下来？	What  Could  Get  You  Dropped  From  Your  Car  Insurance?	什么 可以 让 你 从 汽车保险 上 掉下来
4225	disability-insurance	什么是残疾人收入保险？	What  Is  Disability  Income  Insurance  Coverage?	什么 是 残疾人 收入 保险
4226	home-insurance	房主保险在家里受伤吗？	Does  Homeowners  Insurance  Cover  Injuries  At  Home?	房主 保险 在 家里 受伤
4227	home-insurance	寻找家庭保险时要知道什么？	What  To  Know  When  Looking  For  Home  Insurance?	寻找 家庭 保险 时 要 知道 什么
4228	home-insurance	狗如何影响家庭保险？	How  Does  Having  A  Dog  Affect  Home  Insurance?	狗 如何 影响 家庭 保险
4229	long-term-care-insurance	HSA可以用于长期护理保险吗？	Can  HSA  Be  Used  For  Long  Term  Care  Insurance?	HSA 可以 用于 长期 护理 保险
4230	health-insurance	什么是健康保险点？	What's  The  Point  Of  Health  Insurance?	什么 是 健康 保险 点
4231	home-insurance	保险公司不断提高利率，使我的抵押贷款上涨。我该怎么办？	Insurance  company  keeps  raising  rates  and  making  my  mortgage  payments  go  up.  What  should  I  do?	保险公司 不断 提高 利率 使 我 抵押 贷款 上涨 我 该 怎么办
4232	critical-illness-insurance	关键疾病保险费是否应纳税？	Is  A  Critical  Illness  Insurance  Payout  Taxable?	关键 疾病 保险费 是否 应纳税
4233	long-term-care-insurance	长期护理保险的平均成本是多少？	What  Is  The  Average  Cost  Of  Long  Term  Care  Insurance?	长期 护理 保险 平均 成本 是 多少
4234	disability-insurance	哪里申请残疾保险？	Where  To  Apply  For  Disability  Insurance?	哪里 申请 残疾 保险
4235	medicare-insurance	Medigap政策涵盖什么？	What  Does  A  Medigap  Policy  Cover?	Medigap 政策 涵盖 什么
4236	auto-insurance	普通汽车保险是否便宜？	Is  The  General  Auto  Insurance  Cheap?	普通 汽车保险 是否 便宜
4237	disability-insurance	何时需要残疾保险？	When  Is  Disability  Insurance  Necessary?	何时 需要 残疾 保险
4238	annuities	需要出售可变年金的许可证？	What  Licenses  Are  Needed  To  Sell  Variable  Annuities?	需要 出售 可变 年金 许可证
4239	life-insurance	人寿保险意味着什么？	What  Does  Portability  Mean  With  Life  Insurance?	人寿保险 意味着 什么
4240	medicare-insurance	胰岛素由医疗保险覆盖吗？	Is  Insulin  Covered  By  Medicare?	胰岛素 由 医疗保险 覆盖
4241	home-insurance	房主保险是否会覆盖基金会的损失？	Will  Homeowners  Insurance  Cover  Foundation  Damage?	房主 保险 是否 会 覆盖 基金会 损失
4242	long-term-care-insurance	是长期护理保险预税吗？	Is  Long  Term  Care  Insurance  Pre-Tax?	是 长期 护理 保险 预 税
4243	renters-insurance	在哪里找租金保险？	Where  To  Find  Renters  Insurance?	在 哪里找 租金 保险
4244	retirement-plans	何时将传统IRA转为Roth IRA？	When  To  Rollover  Traditional  IRA  To  Roth  IRA?	何时 将 传统 IRA 转为 Roth IRA
4245	medicare-insurance	什么是不同的Medigap计划？	What  Are  The  Different  Medigap  Plans?	什么 是 不同 Medigap 计划
4246	medicare-insurance	我会收取医疗保险征费吗？	Will  I  Be  Charged  The  Medicare  Levy?	我会 收取 医疗保险 征费
4247	medicare-insurance	医疗保险B部分是否缴纳免税额？	Is  Medicare  Part  B  Premium  Tax  Deductible?	医疗保险 B 部分 是否 缴纳 免税额
4248	life-insurance	作为人寿保险代理人是个好工作？	Is  Being  A  Life  Insurance  Agent  A  Good  Job?	作为 人寿保险 代理人 是 个 好 工作
4249	life-insurance	可调节人寿保险如何运作？	How  Does  Adjustable  Life  Insurance  Work?	可 调节 人寿保险 如何 运作
4250	disability-insurance	为什么选择短期残疾保险？	Why  Buy  Short  Term  Disability  Insurance?	为什么 选择 短期 残疾 保险
4251	life-insurance	人寿保险是否包括意外死亡？	Does  Life  Insurance  Cover  Accidental  Death?	人寿保险 是否 包括 意外 死亡
4252	health-insurance	什么时候可以加入我的健康保险？	When  Can  I  Add  Someone  To  My  Health  Insurance?	什么 时候 可以 加入 我 健康 保险
4253	medicare-insurance	什么是AARP Medigap保险？	What  Is  AARP  Medigap  Insurance?	什么 是 AARP Medigap 保险
4254	renters-insurance	什么时候寻找租赁者保险？	What  To  Look  For  When  Getting  Renters  Insurance?	什么 时候 寻找 租赁者 保险
4255	renters-insurance	租客保险是否涵盖龙卷风损失？	Does  Renters  Insurance  Cover  Tornado  Damage?	租客 保险 是否 涵盖 龙卷风 损失
4256	health-insurance	我可以在佛罗里达州获得健康保险吗？	Can  I  Get  Health  Insurance  With  A  Pre  Existing  Condition  In  Florida?	我 可以 在 佛罗里达州 获得 健康 保险
4257	medicare-insurance	医疗保险通常会为血液工作付钱？	How  Often  Will  Medicare  Pay  For  Blood  Work?	医疗保险 通常 会 为 血液 工作 付钱
4258	long-term-care-insurance	长期护理保险是好买吗？	Is  Long  Term  Care  Insurance  A  Good  Buy?	长期 护理 保险 是 好 买
4259	life-insurance	美国人寿是否为人寿保险进行药物检测？	Does  USAA  Do  A  Drug  Test  For  Life  Insurance?	美国 人寿 是否 为 人寿保险 进行 药物 检测
4260	home-insurance	房主保险是否覆盖？	Does  Homeowners  Insurance  Cover  Fights?	房主 保险 是否 覆盖
4261	retirement-plans	什么是补充不合格退休计划？	What  Is  A  Supplemental  Nonqualified  Retirement  Plan?	什么 是 补充 不 合格 退休 计划
4262	health-insurance	你有没有健康保险的Hsa？	Can  You  Have  An  Hsa  Without  Health  Insurance?	你 有 没有 健康 保险 Hsa
4263	medicare-insurance	我的医疗保险是否覆盖我的配偶？	Does  My  Medicare  Cover  My  Spouse?	我 医疗保险 是否 覆盖 我 配偶
4264	home-insurance	谁写进步家庭保险？	Who  Writes  Progressive  Home  Insurance?	谁 写 进步 家庭 保险
4265	long-term-care-insurance	长期护理保险是否涵盖护理院？	Does  Long  Term  Care  Insurance  Cover  A  Nursing  Home?	长期 护理 保险 是否 涵盖 护理院
4266	life-insurance	怀孕会影响人寿吗？	Does  Pregnancy  Affect  Life  Insurance?	怀孕 会 影响 人寿
4267	life-insurance	我可以用DUI获得人寿保险吗？	Can  I  get  life  insurance  with  a  DUI?	我 可以 用 DUI 获得 人寿保险
4268	medicare-insurance	医疗保险支付带座位的步行者吗？	Does  Medicare  Pay  For  Walkers  With  Seats?	医疗保险 支付 带 座位 步行者
4269	renters-insurance	租客保险是否包括火器？	Does  Renters  Insurance  Cover  Firearms?	租客 保险 是否 包括 火器
4270	medicare-insurance	什么是医疗保险？	What  Is  Custodial  Care  For  Medicare?	什么 是 医疗保险
4271	health-insurance	有多少美国人目前没有健康保险？	How  Many  Americans  Are  Currently  Without  Health  Insurance?	有 多少 美国 人 目前 没有 健康 保险
4272	life-insurance	通用和可变人寿保险之间的主要区别是什么？	What  Is  The  Main  Difference  Between  Universal  And  Variable  Life  Insurance?	通用 和 可变 人寿保险 之间 主要 区别 是 什么
4273	medicare-insurance	Obamacare会做什么医疗保健？	What  Will  Obamacare  Do  To  Medicare?	Obamacare 会 做 什么 医疗保健
4274	disability-insurance	何时需要长期残疾保险？	When  Do  I  Need  Long  Term  Disability  Insurance?	何时 需要 长期 残疾 保险
4275	life-insurance	谁有好的人寿保险？	Who  Has  Good  Life  Insurance?	谁 有 好 人寿保险
4276	medicare-insurance	医疗保险支付电动椅？	Will  Medicare  Pay  For  Electric  Lift  Chair?	医疗保险 支付 电动 椅
